FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
3,196,189,18,101,558,lean left
4,166,197,19,102,559,lean left
2,131,201,18,101,559,lean left
4,45,207,19,103,559,lean left
15,40,216,50,133,575,lean left
4,4,205,19,102,563,lean left
2,3,204,17,101,566,lean left
3,4,206,18,100,566,lean left
3,2,205,17,97,566,lean left
4,4,207,18,99,565,lean left
3,3,206,18,98,562,lean left
4,41,206,19,99,562,lean left
3,49,205,17,98,561,lean left
4,51,207,19,98,561,lean left
3,54,205,17,98,559,lean left
4,70,209,19,98,558,lean left
3,77,208,18,97,558,lean left
4,86,209,19,101,558,lean left
4,142,209,19,100,558,lean left
5,149,216,34,114,565,lean left
5,158,202,20,102,560,lean left
3,163,197,19,102,561,lean left
5,179,199,20,103,561,lean left
4,181,198,19,102,561,lean left
5,183,194,20,103,560,lean left
4,198,197,19,101,560,lean left
5,207,197,20,102,561,lean left
4,203,188,19,102,562,lean left
5,185,188,20,103,563,lean left
3,120,183,19,103,563,lean left
3,111,184,18,101,564,lean left
2,144,182,17,102,564,lean left
3,150,186,18,102,562,lean left
2,166,183,17,102,562,lean left
3,168,184,18,103,562,lean left
1,135,189,17,104,562,lean left
2,74,191,17,108,564,lean left
1,44,188,16,112,565,lean left
3,42,191,18,116,567,lean left
2,2,188,17,129,567,lean left
3,3,189,18,127,566,lean left
1,2,194,16,129,566,lean left
2,3,195,18,130,570,lean left
2,2,193,17,122,570,lean left
2,2,192,18,114,570,lean left
2,2,191,17,113,568,lean left
3,12,192,18,112,566,lean left
1,49,192,16,110,564,lean left
3,55,195,18,110,562,lean left
2,72,196,17,108,560,lean left
3,96,196,18,102,560,lean left
2,97,195,17,100,559,lean left
4,172,194,18,98,559,lean left
3,254,197,18,96,559,lean left
4,264,197,18,97,559,lean left
3,257,194,18,96,557,lean left
4,267,197,19,96,558,lean left
3,289,197,17,95,557,lean left
4,339,202,19,95,558,lean left
2,342,202,17,92,557,lean left
4,349,203,19,92,558,lean left
2,399,199,18,88,557,lean left
4,413,202,19,88,558,lean left
3,410,197,17,86,555,lean left
3,402,203,19,84,555,lean left
3,341,203,17,81,554,lean left
3,291,206,19,82,555,lean left
1,216,206,18,88,555,lean left
3,208,209,18,90,557,lean left
2,200,208,17,91,559,lean left
3,181,207,18,91,559,lean left
2,201,236,17,87,559,lean left
3,200,240,19,82,560,lean left
2,151,222,18,82,562,lean left
3,152,223,18,83,562,lean left
2,176,224,17,83,562,lean left
4,204,224,18,85,560,lean left
2,228,208,18,82,557,lean left
4,270,209,18,80,555,lean left
2,280,208,18,81,554,lean left
3,291,203,18,83,554,lean left
2,334,202,18,80,553,lean left
4,366,203,19,82,554,lean left
3,390,199,18,81,554,lean left
4,398,196,19,82,554,lean left
3,420,196,18,80,553,lean left
6,424,197,21,82,554,lean left
4,424,189,19,82,554,lean left
5,426,192,20,84,554,lean left
4,425,191,19,82,554,lean left
5,425,191,21,84,554,lean left
4,425,186,20,84,554,lean left
6,428,191,20,83,554,lean left
4,436,191,20,86,554,lean left
5,431,191,20,87,554,lean left
4,426,197,20,86,553,lean left
5,360,203,20,89,554,lean left
3,281,204,19,90,553,lean left
5,239,207,20,94,554,lean left
3,211,206,19,92,554,lean left
5,209,216,20,95,555,lean left
4,197,223,19,98,556,lean left
5,174,224,20,97,559,lean left
3,169,236,19,98,560,lean left
4,164,237,20,99,561,lean left
4,175,237,19,110,567,lean left
18,196,220,18,98,560,lean left
5,198,230,20,98,560,lean left
4,206,229,19,98,559,lean left
5,215,213,20,104,560,lean left
3,255,212,19,103,558,lean left
3,260,212,17,102,558,lean left
2,271,210,17,102,557,lean left
3,279,210,18,103,557,lean left
2,338,210,17,102,555,lean left
3,368,211,18,103,556,lean left
2,368,208,18,101,556,lean left
3,398,208,19,98,556,lean left
2,406,206,17,96,555,lean left
4,415,206,18,96,555,lean left
2,419,204,18,95,555,lean left
4,420,201,18,93,555,lean left
3,435,204,17,89,554,lean left
3,438,202,19,92,555,lean left
2,437,198,18,92,554,lean left
2,440,200,18,87,555,lean left
2,440,200,18,86,554,lean left
3,440,200,18,85,554,lean left
2,437,202,17,86,554,lean left
3,393,204,18,87,554,lean left
1,368,205,17,83,553,lean left
3,281,209,18,87,554,lean left
2,234,208,17,86,553,lean left
2,209,210,18,90,554,lean left
2,195,217,17,91,555,lean left
2,184,238,18,94,557,lean left
11,175,248,25,103,558,lean left
2,152,241,17,94,559,lean left
2,160,248,17,93,559,lean left
3,165,245,18,93,559,lean left
1,168,240,16,94,558,lean left
2,177,236,17,95,557,lean left
1,189,225,17,93,555,lean left
2,200,218,17,94,555,lean left
1,205,212,16,93,554,lean left
3,249,213,17,89,554,lean left
2,268,213,16,87,553,lean left
2,277,213,17,88,553,lean left
1,306,213,17,85,553,lean left
3,342,213,17,86,554,lean left
1,372,212,17,86,553,lean left
3,389,209,18,86,554,lean left
2,392,203,17,84,553,lean left
3,430,207,18,85,554,lean left
2,438,204,17,87,553,lean left
3,438,202,17,87,553,lean left
1,440,201,17,85,553,lean left
3,441,202,18,88,554,lean left
2,442,202,17,87,553,lean left
3,445,201,18,90,553,lean left
2,444,200,17,85,553,lean left
3,448,204,18,87,553,lean left
2,422,205,17,88,553,lean left
2,345,211,18,89,553,lean left
2,244,212,17,89,553,lean left
3,214,216,18,93,553,lean left
1,204,224,16,94,553,lean left
2,195,227,17,96,554,lean left
2,171,240,16,94,554,lean left
2,168,265,18,96,556,lean left
2,150,252,16,94,556,lean left
2,152,247,17,92,557,lean left
1,163,255,16,91,556,lean left
2,173,253,18,92,555,lean left
2,184,228,17,91,555,lean left
2,190,218,18,87,554,lean left
1,208,219,16,87,553,lean left
2,212,211,18,87,553,lean left
1,239,210,16,86,553,lean left
3,261,210,17,87,553,lean left
2,281,209,17,87,553,lean left
2,295,208,17,88,553,lean left
1,307,205,17,87,552,lean left
3,366,209,18,87,552,lean left
1,405,200,17,87,553,lean left
3,413,200,18,89,553,lean left
2,420,200,17,87,553,lean left
3,424,200,18,88,553,lean left
2,431,199,17,87,553,lean left
3,432,196,18,89,553,lean left
2,435,195,17,87,552,lean left
2,441,196,18,88,553,lean left
2,439,194,26,96,556,lean left
12,445,203,26,87,553,lean left
8,433,198,19,87,553,lean left
1,370,203,17,87,553,lean left
3,315,210,18,88,553,lean left
1,229,208,17,90,553,lean left
2,225,210,17,92,553,lean left
2,214,219,16,91,552,lean left
2,193,220,17,92,553,lean left
2,185,241,17,89,553,lean left
30,200,270,39,111,565,lean left
1,164,262,17,91,554,lean left
2,148,247,17,93,554,lean left
2,155,248,16,88,553,lean left
2,176,257,17,90,552,lean left
2,183,222,16,90,551,lean left
2,203,208,17,90,551,lean left
1,233,205,16,89,551,lean left
2,283,205,18,91,551,lean left
1,353,204,17,91,551,lean left
2,375,203,18,88,551,lean left
2,427,203,17,88,551,lean left
3,439,200,18,90,552,lean left
1,446,199,18,90,552,lean left
2,452,200,18,90,552,lean left
0,434,593,29,0,0,lean left
0,359,631,42,0,28,lean left
0,321,618,75,0,289,lean left
0,310,580,58,0,274,lean left
0,253,570,42,0,264,lean left
0,265,575,44,0,215,lean left
0,268,590,47,0,63,lean left
0,268,610,47,0,45,lean left
0,278,616,41,0,37,lean left
0,263,618,41,0,0,lean left
0,290,624,35,0,0,lean left
0,292,625,36,0,0,lean left
0,302,621,28,0,0,lean left
0,238,612,28,0,0,lean left
0,235,611,27,0,0,lean left
0,282,607,17,0,0,lean left
0,282,620,17,0,0,lean left
0,289,633,16,0,0,lean left
0,303,642,17,0,0,lean left
0,318,648,17,0,0,lean left
0,309,644,15,0,0,lean left
0,332,646,16,0,0,lean left
0,333,638,16,0,0,lean left
0,327,631,16,0,0,lean left
0,294,663,16,0,0,lean left
0,192,672,15,0,0,lean left
0,278,671,15,0,0,lean left
0,318,667,15,0,0,lean left
0,355,672,16,0,0,lean left
0,356,662,15,0,0,lean left
0,396,650,15,0,0,lean left
0,393,637,15,0,0,lean left
0,380,627,14,0,0,lean left
0,372,619,14,0,0,lean left
0,366,617,14,0,0,lean left
0,370,605,14,0,0,lean left
0,368,597,14,0,0,lean left
0,374,600,13,0,0,lean left
0,369,594,13,0,0,lean left
0,371,592,12,0,0,lean left
0,378,589,13,0,0,lean left
0,376,585,14,0,0,lean left
0,372,577,12,0,0,lean left
0,362,568,10,0,0,lean left
0,371,569,12,0,0,lean left
0,371,568,12,0,0,lean left
0,369,571,12,0,0,lean left
0,372,575,10,0,0,lean left
0,371,577,11,0,0,lean left
0,361,577,11,0,0,lean left
0,414,577,12,0,0,lean left
0,384,574,12,0,0,lean left
0,277,566,14,0,0,lean left
0,298,571,13,0,0,lean left
0,311,571,12,0,0,lean left
0,291,565,11,0,0,lean left
0,289,567,11,0,0,lean left
0,322,572,11,0,0,lean left
0,381,576,11,0,0,lean left
0,411,576,12,0,0,lean left
0,426,574,11,0,0,lean left
0,451,576,12,0,0,lean left
0,445,575,12,0,0,lean left
0,421,575,12,0,0,lean left
0,375,573,12,0,0,lean left
0,375,574,12,0,0,lean left
0,410,575,12,0,0,lean left
0,429,582,12,0,0,lean left
0,409,582,12,0,0,lean left
0,410,583,12,0,0,lean left
0,425,591,12,0,0,lean left
0,419,594,11,0,0,lean left
0,383,591,13,0,0,lean left
0,383,590,11,0,0,lean left
0,386,591,11,0,0,lean left
0,415,594,11,0,0,lean left
0,431,596,11,0,0,lean left
0,415,597,12,0,0,lean left
0,415,598,11,0,0,lean left
0,422,599,11,0,0,lean left
0,378,603,11,0,0,lean left
0,385,609,11,0,0,lean left
0,381,614,12,0,0,lean left
0,371,616,12,0,0,lean left
0,378,617,12,0,0,lean left
0,377,618,13,0,0,lean left
0,383,616,11,0,0,lean left
0,393,616,11,0,0,lean left
0,385,616,10,0,0,lean left
0,384,618,11,0,0,lean left
0,407,617,11,0,0,lean left
0,431,618,11,0,0,lean left
0,398,618,11,0,0,lean left
0,381,617,8,0,0,lean left
0,373,617,8,0,0,lean left
0,379,618,0,0,0,lean left
0,379,618,0,0,0,lean left
0,386,618,0,0,0,lean left
0,389,617,0,0,0,lean left
0,387,616,0,0,0,lean left
0,385,617,0,0,0,lean left
0,464,618,0,0,0,lean left
