FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
104,1,101,15,26,249,correct
108,2,101,16,26,250,correct
107,1,102,14,25,249,correct
108,2,103,16,26,250,correct
107,1,101,15,25,250,correct
105,1,98,16,27,252,correct
101,1,95,14,25,251,correct
102,2,95,15,26,251,correct
101,1,96,14,25,249,correct
102,2,96,15,26,250,correct
114,13,107,27,37,256,correct
103,2,98,15,27,249,correct
100,1,99,15,26,249,correct
102,1,98,16,27,249,correct
104,0,89,14,26,246,correct
106,2,94,16,26,246,correct
107,0,93,14,25,245,correct
106,2,94,16,28,245,correct
112,1,88,14,25,242,correct
113,2,88,15,26,243,correct
111,0,88,15,25,243,correct
118,2,89,16,25,244,correct
116,1,88,15,25,243,correct
124,1,83,16,21,244,correct
118,0,85,15,24,244,correct
120,2,84,16,25,252,correct
119,1,84,15,24,251,correct
119,1,87,16,25,251,correct
119,1,87,15,23,250,correct
120,1,88,16,24,250,correct
124,1,85,15,25,251,correct
126,1,81,16,23,249,correct
127,1,79,15,22,248,correct
123,1,79,16,29,257,correct
122,13,92,28,33,258,correct
138,13,93,25,30,255,correct
127,1,84,16,19,248,correct
126,1,81,14,18,247,correct
128,2,86,16,19,254,correct
136,1,77,14,17,248,correct
131,2,77,16,19,247,correct
130,1,78,15,17,245,correct
136,1,79,16,17,246,correct
135,1,78,14,16,245,correct
137,2,82,16,19,246,correct
138,0,80,15,18,246,correct
135,1,77,16,20,249,correct
134,1,75,15,18,248,correct
132,2,76,16,20,256,correct
131,0,58,15,24,257,correct
125,2,51,16,26,258,correct
117,16,36,15,26,258,correct
134,16,29,16,27,260,correct
131,61,1,15,27,263,correct
137,104,2,16,29,264,correct
138,96,1,15,27,263,correct
140,92,1,16,29,264,correct
142,65,1,14,26,263,correct
141,2,49,16,28,262,correct
138,0,70,15,24,262,correct
137,1,68,16,22,261,correct
141,1,63,15,19,266,correct
142,1,58,16,16,265,correct
140,1,53,15,15,264,correct
140,2,57,16,16,258,correct
144,0,41,14,20,255,correct
171,33,52,46,51,284,correct
140,1,10,15,20,250,correct
141,2,29,16,21,252,correct
140,1,31,15,20,249,correct
142,1,17,16,20,248,correct
142,0,28,15,19,249,correct
142,2,31,16,21,251,correct
140,1,32,15,20,250,correct
141,1,8,16,21,251,correct
139,1,1,15,15,251,correct
141,2,2,16,17,251,correct
137,0,6,15,15,251,correct
136,1,10,16,17,252,correct
135,1,31,14,15,252,correct
135,2,42,16,21,254,correct
132,0,13,15,20,253,correct
131,1,18,16,19,253,correct
133,0,31,15,14,253,correct
130,2,48,16,16,254,correct
134,1,48,15,19,253,correct
136,2,51,16,21,253,correct
134,0,14,15,19,252,correct
134,1,1,16,16,254,correct
123,0,0,15,14,254,correct
124,2,1,16,16,255,correct
125,0,0,15,15,255,correct
125,2,43,16,16,258,correct
124,0,56,15,15,259,correct
132,2,55,16,17,260,correct
133,0,60,15,15,258,correct
133,1,68,15,16,259,correct
131,1,67,15,15,258,correct
158,29,86,51,53,280,correct
136,1,56,14,16,262,correct
134,2,55,16,17,268,correct
132,1,16,15,16,269,correct
129,2,6,16,17,271,correct
110,0,0,14,16,275,correct
109,1,1,16,21,281,correct
115,0,0,15,23,281,correct
118,1,2,16,25,282,correct
125,0,1,15,23,280,correct
132,1,2,16,23,279,correct
138,1,0,15,21,275,correct
142,1,1,16,23,275,correct
142,0,1,15,22,271,correct
147,2,2,16,17,267,correct
149,1,35,15,16,264,correct
151,2,45,16,17,262,correct
149,1,31,14,16,255,correct
149,2,48,16,17,248,correct
152,1,51,15,16,243,correct
151,1,54,16,16,247,correct
145,1,54,15,20,252,correct
147,2,55,16,21,250,correct
144,1,55,15,19,250,correct
143,1,52,16,21,249,correct
168,32,80,52,50,263,correct
139,2,55,16,16,239,correct
141,1,69,15,15,238,correct
142,2,69,16,16,240,correct
143,0,66,15,15,229,correct
147,1,70,16,16,229,correct
145,1,54,28,26,225,correct
151,14,71,26,29,215,correct
149,3,60,16,16,215,correct
137,0,60,15,14,213,correct
136,1,64,16,14,219,correct
138,1,64,14,14,218,correct
141,2,62,16,15,219,correct
139,1,66,14,14,214,correct
143,1,58,16,15,219,correct
140,0,35,14,13,218,correct
143,1,36,16,14,220,correct
140,1,34,15,13,221,correct
141,2,43,16,14,222,correct
142,0,45,15,12,221,correct
143,1,47,16,14,223,correct
141,0,51,15,13,222,correct
142,2,51,16,13,223,correct
141,0,38,15,12,224,correct
145,2,37,16,12,225,correct
143,0,26,14,12,225,correct
145,1,40,16,11,224,correct
143,0,43,15,9,224,correct
144,2,56,16,1,224,correct
145,1,60,15,0,224,correct
146,2,61,16,1,227,correct
170,31,76,51,39,250,correct
146,2,20,16,2,232,correct
144,1,13,15,14,233,correct
149,1,20,16,15,236,correct
145,0,12,15,15,249,correct
141,2,14,16,15,263,correct
133,0,9,16,15,275,correct
145,2,6,16,16,282,correct
145,0,5,15,15,282,correct
150,2,6,16,16,282,correct
151,1,5,15,15,281,correct
153,2,6,17,16,275,correct
152,1,5,15,15,273,correct
154,2,53,16,17,269,correct
151,1,31,16,16,267,correct
152,1,39,16,16,251,correct
148,0,34,15,15,248,correct
150,1,32,16,16,242,correct
161,0,44,15,15,240,correct
153,1,45,16,16,239,correct
152,1,63,16,14,236,correct
155,2,67,17,16,236,correct
155,1,67,15,14,237,correct
158,2,63,16,15,237,correct
154,0,73,15,14,237,correct
150,2,81,17,15,238,correct
146,1,72,15,11,236,correct
149,2,84,17,13,237,correct
148,1,80,15,10,236,correct
150,2,61,17,11,237,correct
148,1,48,15,5,236,correct
147,1,40,16,6,237,correct
147,0,42,15,6,236,correct
148,1,42,16,8,237,correct
147,1,45,15,10,236,correct
146,2,54,16,10,237,correct
145,1,55,15,8,236,correct
148,2,57,16,8,238,correct
148,1,52,16,11,237,correct
148,2,43,17,13,239,correct
144,1,23,15,13,239,correct
150,1,19,16,15,241,correct
148,0,8,15,13,257,correct
144,2,2,17,16,275,correct
139,1,0,15,15,281,correct
126,2,2,17,16,283,correct
133,1,1,15,16,282,correct
140,2,2,17,18,282,correct
142,1,1,16,16,277,correct
148,2,2,16,16,266,correct
149,0,1,15,15,249,correct
154,1,8,15,15,241,correct
156,0,19,15,13,241,correct
188,42,69,48,46,264,correct
161,0,36,16,13,240,correct
162,1,50,16,15,242,correct
159,1,37,15,12,242,correct
165,2,19,16,14,241,correct
165,1,23,15,12,242,correct
166,2,27,16,13,242,correct
163,1,33,15,11,241,correct
164,2,31,16,12,242,correct
165,1,32,15,12,241,correct
175,16,32,33,12,249,correct
165,14,21,29,24,249,correct
175,14,21,16,7,238,correct
165,2,7,16,13,240,correct
165,1,1,15,11,239,correct
166,2,26,17,10,239,correct
166,1,46,15,8,239,correct
168,2,56,17,8,241,correct
167,1,54,15,3,243,correct
169,2,58,16,2,244,correct
166,1,52,15,11,242,correct
165,2,54,17,13,243,correct
160,1,55,15,12,244,correct
159,2,47,17,13,247,correct
154,1,25,15,13,247,correct
154,2,2,17,15,251,correct
135,1,0,15,15,253,correct
135,2,2,16,16,265,correct
138,1,1,15,15,269,correct
138,2,1,16,17,270,correct
128,1,1,15,16,269,correct
516,338,550,15,0,0,correct
527,327,604,15,0,0,correct
535,354,637,16,0,0,correct
533,360,651,15,0,0,correct
529,367,659,15,0,0,correct
526,353,657,15,0,0,correct
540,365,651,15,0,0,correct
545,353,647,16,0,0,correct
551,284,649,16,0,0,correct
556,265,661,18,0,0,correct
572,237,668,17,23,0,correct
552,0,673,19,34,0,correct
530,0,642,21,40,0,correct
468,0,615,25,73,0,correct
416,0,611,28,83,0,correct
419,0,574,28,85,0,correct
421,0,539,37,86,117,correct
447,0,576,30,83,0,correct
456,0,587,29,83,0,correct
463,0,592,28,84,0,correct
469,0,593,29,86,0,correct
478,0,595,29,85,0,correct
472,0,589,29,87,0,correct
476,0,617,29,82,0,correct
479,0,626,27,80,0,correct
476,0,622,27,79,0,correct
475,0,617,28,83,0,correct
478,0,621,26,84,0,correct
481,0,623,25,87,0,correct
487,0,625,24,85,0,correct
484,0,614,24,86,0,correct
497,0,616,22,85,0,correct
504,0,620,21,83,0,correct
510,0,629,21,76,0,correct
518,0,636,18,50,0,correct
517,0,639,18,25,0,correct
526,0,641,17,21,0,correct
535,0,636,17,20,0,correct
543,0,640,17,19,0,correct
546,0,641,20,20,0,correct
551,0,641,20,25,0,correct
552,0,636,21,25,0,correct
552,0,630,20,25,0,correct
553,0,622,21,26,0,correct
554,0,618,21,31,0,correct
554,0,617,20,35,0,correct
555,0,614,20,34,0,correct
559,0,613,20,36,0,correct
562,0,611,17,27,0,correct
562,0,608,18,29,0,correct
559,0,595,18,27,0,correct
561,0,597,15,27,0,correct
562,0,604,15,27,0,correct
562,0,603,15,28,0,correct
564,0,603,15,31,0,correct
564,0,602,16,31,0,correct
564,0,605,15,26,0,correct
560,0,597,16,27,0,correct
562,0,603,15,25,0,correct
565,0,612,17,29,0,correct
564,0,608,17,27,0,correct
564,0,604,18,31,0,correct
564,0,606,17,30,0,correct
512,0,511,15,26,0,correct
538,0,578,15,2,0,correct
549,150,620,14,0,0,correct
557,440,660,15,0,0,correct
558,556,669,16,1,0,correct
560,619,645,15,0,0,correct
565,592,634,15,0,1,correct
567,538,640,15,0,0,correct
569,535,642,16,0,0,correct
570,547,638,16,0,0,correct
571,539,639,15,0,1,correct
569,526,641,16,0,0,correct
570,534,636,15,0,0,correct
569,545,637,15,1,0,correct
568,540,637,15,0,1,correct
567,561,637,15,0,0,correct
567,566,640,14,0,0,correct
563,573,633,15,0,0,correct
566,582,629,15,0,0,correct
569,579,623,15,1,0,correct
571,578,608,14,0,1,correct
573,575,603,15,1,0,correct
575,573,601,15,0,0,correct
574,573,593,15,0,0,correct
573,569,593,15,0,0,correct
573,565,575,14,0,0,correct
573,563,576,15,0,0,correct
574,571,581,15,0,0,correct
574,564,584,15,1,0,correct
576,551,585,15,0,0,correct
576,553,588,15,0,1,correct
575,564,592,15,1,0,correct
577,560,607,16,0,0,correct
575,563,591,15,0,0,correct
578,577,605,15,1,0,correct
577,578,606,15,0,0,correct
575,579,598,16,0,0,correct
578,581,589,14,0,0,correct
580,582,585,15,0,0,correct
583,583,583,16,0,0,correct
586,582,587,15,0,0,correct
585,581,580,15,1,0,correct
587,578,582,15,0,0,correct
587,582,583,15,0,0,correct
588,581,585,16,0,0,correct
589,575,588,15,0,0,correct
589,574,590,15,0,0,correct
589,576,592,15,0,0,correct
591,580,600,15,0,1,correct
589,577,586,15,0,0,correct
591,583,589,15,0,0,correct
595,586,588,15,0,0,correct
595,581,600,16,0,0,correct
596,588,610,16,0,0,correct
595,592,615,15,0,0,correct
593,593,620,15,0,0,correct
596,589,624,15,1,0,correct
593,583,612,15,0,0,correct
595,595,609,15,0,1,correct
593,593,593,15,0,0,correct
592,591,584,15,0,0,correct
593,588,574,15,1,0,correct
595,590,567,15,0,0,correct
