FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
639,787,0,0,0,0,slouch
625,778,0,0,0,0,slouch
635,795,0,0,0,0,slouch
633,802,12,12,12,11,slouch
640,789,11,11,11,11,slouch
653,775,10,10,10,11,slouch
661,768,11,11,11,10,slouch
649,775,12,11,12,12,slouch
653,776,12,11,11,11,slouch
653,771,11,11,11,11,slouch
633,754,10,10,9,9,slouch
617,721,8,8,9,9,slouch
601,721,9,8,9,9,slouch
598,720,9,8,8,8,slouch
617,734,9,9,9,8,slouch
601,733,9,9,8,9,slouch
598,704,8,8,8,8,slouch
599,725,9,7,8,8,slouch
591,717,8,8,7,8,slouch
576,707,8,8,9,9,slouch
575,710,8,7,8,8,slouch
579,702,8,8,8,8,slouch
571,693,8,8,8,8,slouch
559,667,8,8,8,8,slouch
571,657,7,8,8,7,slouch
560,646,7,7,7,7,slouch
557,644,7,8,7,7,slouch
553,643,8,7,7,7,slouch
507,638,7,6,7,7,slouch
534,641,8,7,7,7,slouch
514,649,7,7,7,7,slouch
524,649,7,7,7,7,slouch
523,650,7,7,7,7,slouch
565,639,7,7,7,7,slouch
564,663,8,7,7,7,slouch
530,687,8,8,7,8,slouch
497,680,8,8,8,8,slouch
537,677,8,8,8,7,slouch
532,682,8,7,8,8,slouch
539,682,8,8,8,8,slouch
556,687,8,8,8,8,slouch
558,684,8,7,8,8,slouch
558,693,7,8,8,8,slouch
558,685,7,8,7,8,slouch
559,671,7,7,7,8,slouch
563,664,8,7,7,8,slouch
564,639,7,7,8,8,slouch
570,627,7,7,6,7,slouch
572,618,7,6,6,6,slouch
559,604,6,6,6,7,slouch
556,624,7,7,7,7,slouch
556,629,7,7,7,7,slouch
545,632,7,7,7,7,slouch
544,657,8,8,8,7,slouch
545,650,7,8,7,7,slouch
558,640,7,7,7,7,slouch
569,632,7,7,7,7,slouch
551,645,8,7,7,8,slouch
523,651,8,8,7,7,slouch
437,675,7,7,8,8,slouch
431,647,7,7,8,7,slouch
413,637,7,7,7,7,slouch
440,651,7,7,7,7,slouch
440,637,7,7,8,7,slouch
441,624,7,7,8,7,slouch
440,636,7,7,7,7,slouch
441,637,8,7,7,7,slouch
442,639,7,8,7,7,slouch
442,645,7,7,7,7,slouch
455,648,7,7,7,7,slouch
458,659,7,7,7,7,slouch
475,665,8,8,7,7,slouch
472,671,8,8,8,8,slouch
483,687,8,8,8,7,slouch
497,676,8,8,7,8,slouch
512,654,8,7,8,7,slouch
535,633,7,7,7,7,slouch
527,624,7,7,7,7,slouch
527,621,7,7,7,6,slouch
530,604,6,6,7,6,slouch
510,599,6,6,7,6,slouch
488,591,7,6,6,6,slouch
449,582,6,6,6,5,slouch
418,585,6,6,6,6,slouch
413,572,5,6,5,6,slouch
418,587,6,5,6,6,slouch
411,595,5,5,6,6,slouch
419,592,6,6,6,5,slouch
420,609,7,7,6,6,slouch
418,620,7,7,6,7,slouch
419,614,6,7,7,7,slouch
420,616,6,7,7,7,slouch
424,624,6,6,6,7,slouch
437,631,7,7,7,7,slouch
445,635,7,7,7,7,slouch
442,638,7,6,7,7,slouch
441,646,7,7,7,7,slouch
447,648,7,7,7,7,slouch
446,653,7,7,7,7,slouch
455,654,8,7,7,6,slouch
459,659,7,7,7,7,slouch
465,661,7,7,7,7,slouch
484,661,7,7,8,8,slouch
482,661,8,7,7,7,slouch
481,659,7,7,7,7,slouch
489,651,7,7,7,7,slouch
486,640,6,7,7,7,slouch
488,640,7,7,7,7,slouch
479,640,7,7,7,7,slouch
478,640,7,7,7,7,slouch
466,640,7,7,7,6,slouch
452,641,7,8,7,7,slouch
447,643,8,7,7,7,slouch
451,640,6,6,7,7,slouch
450,638,7,7,7,8,slouch
447,638,7,7,6,6,slouch
451,637,7,6,6,7,slouch
454,639,7,7,7,8,slouch
462,616,6,7,7,7,slouch
485,582,6,6,6,6,slouch
506,589,6,5,6,6,slouch
501,600,6,7,6,6,slouch
530,645,7,7,7,7,slouch
491,661,7,7,7,7,slouch
494,669,8,7,7,8,slouch
510,664,7,7,8,7,slouch
513,632,7,6,6,7,slouch
500,592,6,6,6,6,slouch
507,569,6,5,5,6,slouch
536,572,7,5,5,6,slouch
545,590,5,6,6,6,slouch
519,605,6,7,6,6,slouch
503,606,6,6,6,7,slouch
502,606,6,6,6,6,slouch
476,609,6,6,6,7,slouch
462,631,7,7,7,7,slouch
468,651,7,7,7,7,slouch
493,662,8,7,7,7,slouch
0,638,7,6,7,7,slouch
0,611,7,7,6,6,slouch
0,611,7,7,6,6,slouch
0,639,7,7,7,7,slouch
0,656,6,7,6,7,slouch
1,664,7,7,6,7,slouch
505,658,7,7,7,7,slouch
488,645,7,7,7,7,slouch
485,663,8,7,7,7,slouch
435,639,7,7,7,7,slouch
423,629,6,7,7,7,slouch
413,611,7,6,7,6,slouch
425,624,7,6,7,5,slouch
417,610,7,6,6,6,slouch
411,605,6,6,7,5,slouch
413,626,7,7,6,6,slouch
407,611,7,6,6,7,slouch
420,617,7,6,6,6,slouch
0,614,6,7,6,7,slouch
0,610,7,6,6,6,slouch
0,613,7,6,6,6,slouch
429,612,6,6,7,7,slouch
0,611,6,6,6,6,slouch
0,612,7,5,6,6,slouch
0,609,7,6,6,6,slouch
412,608,6,6,7,6,slouch
0,610,6,6,6,6,slouch
417,609,6,6,6,6,slouch
420,614,7,6,6,6,slouch
420,633,6,7,7,7,slouch
421,654,6,7,8,7,slouch
424,667,8,8,7,7,slouch
426,674,7,7,8,8,slouch
427,673,8,7,7,8,slouch
464,676,8,8,7,7,slouch
