FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
785,6,592,5,366,5,slouch
785,6,590,6,367,6,slouch
785,5,590,5,368,5,slouch
783,6,590,6,367,6,slouch
783,5,590,5,365,5,slouch
783,6,590,6,364,6,slouch
783,5,590,5,363,5,slouch
784,6,591,6,362,4,slouch
783,5,593,16,365,17,slouch
786,16,596,16,359,6,slouch
785,6,591,6,363,5,slouch
783,5,589,5,364,5,slouch
784,6,590,6,367,6,slouch
782,5,590,5,365,5,slouch
782,6,590,6,364,6,slouch
782,5,590,5,362,5,slouch
783,6,591,6,362,5,slouch
783,5,591,5,359,4,slouch
784,6,593,5,358,6,slouch
785,4,592,4,360,5,slouch
783,6,590,6,363,6,slouch
783,4,589,5,364,5,slouch
783,5,590,5,365,5,slouch
782,5,590,5,364,5,slouch
783,6,591,6,363,6,slouch
783,5,590,5,361,5,slouch
782,6,591,6,361,6,slouch
783,5,591,5,360,5,slouch
784,5,593,5,358,5,slouch
784,5,593,5,359,5,slouch
784,5,591,5,363,5,slouch
784,5,590,5,364,5,slouch
787,6,590,6,367,6,slouch
787,5,590,5,367,5,slouch
787,5,591,6,368,6,slouch
787,5,592,5,367,5,slouch
788,6,592,5,367,6,slouch
786,5,592,5,367,5,slouch
785,6,592,6,366,6,slouch
785,4,593,5,365,5,slouch
784,6,592,5,365,6,slouch
784,4,590,5,366,4,slouch
783,6,591,5,368,6,slouch
783,4,591,5,367,4,slouch
782,5,592,6,367,6,slouch
780,4,592,5,363,5,slouch
780,6,593,6,362,6,slouch
781,4,593,5,362,5,slouch
782,6,594,5,359,5,slouch
782,5,593,5,358,5,slouch
782,6,593,6,358,6,slouch
782,5,592,5,361,5,slouch
781,6,590,6,363,6,slouch
782,5,588,5,363,5,slouch
782,6,590,6,364,6,slouch
781,5,590,4,362,4,slouch
782,6,592,5,363,6,slouch
782,4,591,4,362,5,slouch
782,6,592,6,363,5,slouch
782,4,593,5,359,5,slouch
782,6,594,6,360,6,slouch
782,4,593,5,362,5,slouch
782,6,592,6,363,6,slouch
782,5,591,5,364,5,slouch
782,6,592,6,365,6,slouch
785,32,604,40,380,32,slouch
781,6,592,6,364,6,slouch
781,6,592,5,362,5,slouch
782,6,593,6,363,6,slouch
781,5,592,5,362,6,slouch
783,6,593,6,362,6,slouch
784,5,593,5,362,4,slouch
784,6,592,6,365,6,slouch
784,5,590,5,366,6,slouch
784,6,588,6,368,6,slouch
784,5,589,6,368,5,slouch
783,6,590,6,368,6,slouch
783,5,592,5,366,5,slouch
783,6,592,6,367,6,slouch
782,5,592,5,366,5,slouch
782,6,593,7,365,6,slouch
781,5,594,4,362,4,slouch
781,6,594,7,365,6,slouch
782,4,591,5,365,5,slouch
782,7,592,6,367,6,slouch
782,5,592,4,367,4,slouch
781,7,593,6,366,6,slouch
780,5,593,5,365,5,slouch
780,6,593,6,365,6,slouch
782,5,592,5,363,5,slouch
786,37,605,34,378,33,slouch
783,5,593,5,360,4,slouch
783,6,592,6,362,6,slouch
783,4,591,6,365,6,slouch
782,6,590,7,367,6,slouch
782,5,590,4,366,5,slouch
782,6,592,6,367,6,slouch
782,6,591,5,365,5,slouch
782,6,591,6,364,6,slouch
782,5,592,5,363,5,slouch
783,6,592,7,362,6,slouch
784,5,593,4,361,4,slouch
784,7,592,5,363,6,slouch
784,6,590,5,366,6,slouch
788,17,592,16,374,18,slouch
787,6,587,6,368,7,slouch
786,5,590,6,368,5,slouch
785,7,591,6,368,6,slouch
785,5,591,6,367,6,slouch
785,6,591,6,367,6,slouch
784,6,591,6,365,6,slouch
784,6,593,6,364,6,slouch
783,6,592,6,363,6,slouch
784,7,592,7,364,6,slouch
783,6,591,5,365,5,slouch
783,6,590,7,367,7,slouch
781,5,591,6,365,5,slouch
779,7,592,6,364,7,slouch
781,5,591,5,363,5,slouch
781,7,591,7,361,7,slouch
781,6,592,6,360,5,slouch
782,7,593,7,358,7,slouch
783,6,593,6,358,6,slouch
782,6,592,7,361,6,slouch
781,6,591,5,362,6,slouch
782,7,591,6,365,7,slouch
782,5,591,6,366,6,slouch
781,7,592,6,363,6,slouch
782,4,591,5,362,5,slouch
782,6,592,5,360,5,slouch
782,5,592,5,359,5,slouch
782,6,593,6,357,5,slouch
782,5,592,5,358,5,slouch
783,5,591,6,362,6,slouch
784,5,590,5,364,5,slouch
785,6,590,6,366,6,slouch
784,5,591,5,365,4,slouch
784,6,592,6,366,6,slouch
784,5,592,5,366,5,slouch
784,6,592,6,367,6,slouch
784,5,593,5,366,5,slouch
784,6,594,5,365,5,slouch
783,4,593,5,365,4,slouch
784,5,594,5,366,5,slouch
783,4,592,4,365,5,slouch
782,5,592,5,367,6,slouch
780,5,592,4,365,4,slouch
779,6,593,6,364,6,slouch
779,4,593,5,362,4,slouch
780,6,594,5,360,5,slouch
781,4,595,5,358,4,slouch
782,5,596,6,358,5,slouch
