FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
1,2,2,38,88,285,lean right
0,0,0,35,86,283,lean right
1,1,2,37,87,284,lean right
0,0,0,35,87,284,lean right
1,1,1,36,88,285,lean right
0,0,0,35,88,284,lean right
1,1,1,38,94,285,lean right
0,0,0,38,93,284,lean right
1,1,2,39,94,285,lean right
0,0,0,39,92,284,lean right
1,1,1,40,93,285,lean right
0,1,0,39,100,285,lean right
1,1,1,40,101,286,lean right
0,0,0,39,94,285,lean right
1,2,2,40,93,287,lean right
0,0,0,39,91,286,lean right
1,2,2,39,89,287,lean right
0,0,0,38,89,286,lean right
1,1,1,38,90,287,lean right
0,0,0,37,89,287,lean right
1,2,1,38,90,287,lean right
0,0,0,36,91,287,lean right
1,1,1,38,88,287,lean right
0,0,1,34,87,286,lean right
1,1,1,36,89,287,lean right
0,0,0,35,88,286,lean right
1,2,1,36,89,287,lean right
0,0,0,31,87,286,lean right
1,2,2,32,89,286,lean right
0,0,0,31,88,286,lean right
1,2,2,32,89,287,lean right
0,0,0,31,88,286,lean right
0,1,2,32,89,287,lean right
0,0,0,30,89,286,lean right
1,2,1,34,90,287,lean right
0,0,0,30,88,286,lean right
1,2,2,31,90,287,lean right
0,0,0,30,89,287,lean right
40,32,32,62,124,315,lean right
0,1,0,34,89,286,lean right
2,1,1,36,94,287,lean right
1,0,0,37,94,287,lean right
2,1,1,39,98,287,lean right
0,1,0,52,112,297,lean right
15,16,13,51,116,287,lean right
15,3,2,40,104,288,lean right
1,1,1,39,100,287,lean right
2,2,1,40,101,288,lean right
0,1,1,39,100,287,lean right
2,2,2,39,98,288,lean right
1,1,1,37,93,287,lean right
2,2,1,36,95,288,lean right
1,0,1,33,93,287,lean right
2,2,1,33,95,289,lean right
1,1,0,32,92,288,lean right
2,2,1,32,95,288,lean right
0,0,1,29,93,288,lean right
2,1,1,31,90,288,lean right
0,0,1,30,89,287,lean right
2,1,2,31,93,288,lean right
0,1,1,30,90,288,lean right
2,2,1,30,91,288,lean right
0,0,1,30,90,287,lean right
2,1,1,30,90,288,lean right
0,1,1,32,92,288,lean right
2,2,2,31,91,288,lean right
0,1,1,31,91,287,lean right
2,1,1,31,92,288,lean right
1,1,0,30,92,287,lean right
2,2,2,33,92,288,lean right
0,0,0,33,94,287,lean right
1,2,2,33,95,289,lean right
0,1,1,32,94,288,lean right
2,2,2,35,96,288,lean right
1,0,0,35,99,288,lean right
2,2,1,37,102,289,lean right
1,1,0,37,102,288,lean right
2,2,2,37,103,289,lean right
0,0,1,36,103,288,lean right
2,2,2,35,99,289,lean right
1,0,0,33,94,288,lean right
2,2,2,33,95,289,lean right
0,0,1,31,94,288,lean right
2,2,2,34,94,289,lean right
0,0,0,32,93,288,lean right
1,2,2,33,96,289,lean right
0,1,1,33,96,288,lean right
1,1,2,30,96,289,lean right
1,0,0,30,95,287,lean right
2,2,2,31,97,288,lean right
12,12,13,41,106,295,lean right
1,2,2,31,95,287,lean right
0,1,0,30,94,287,lean right
1,1,2,32,95,288,lean right
1,1,0,31,94,287,lean right
2,2,1,32,91,288,lean right
0,0,0,31,90,287,lean right
0,1,2,32,92,288,lean right
0,0,0,30,90,287,lean right
1,2,2,32,90,288,lean right
0,0,0,31,89,287,lean right
2,2,1,34,92,288,lean right
0,0,0,34,92,288,lean right
1,2,2,35,92,288,lean right
0,0,1,34,94,288,lean right
1,1,1,36,96,289,lean right
0,1,0,34,95,288,lean right
1,1,1,35,97,289,lean right
0,1,0,36,97,288,lean right
2,1,2,37,98,289,lean right
0,0,1,36,97,288,lean right
2,2,2,36,98,289,lean right
0,1,0,35,99,289,lean right
1,1,1,35,97,290,lean right
0,0,1,33,93,288,lean right
1,2,2,33,95,290,lean right
0,0,0,31,94,289,lean right
1,1,1,33,95,289,lean right
0,0,0,30,93,288,lean right
1,2,2,31,94,289,lean right
0,0,1,30,104,297,lean right
2,2,2,32,96,289,lean right
0,1,0,31,95,288,lean right
1,2,1,31,95,289,lean right
0,1,1,30,94,288,lean right
1,1,1,33,95,289,lean right
0,0,0,31,94,287,lean right
2,2,2,32,95,289,lean right
0,0,0,31,94,288,lean right
1,1,2,32,95,289,lean right
1,1,0,32,94,288,lean right
2,2,2,35,95,289,lean right
1,0,1,34,93,288,lean right
2,1,1,36,95,289,lean right
1,0,1,35,93,288,lean right
2,1,1,36,95,289,lean right
1,1,1,34,93,289,lean right
2,1,1,38,95,290,lean right
1,1,1,35,93,289,lean right
2,2,2,36,95,290,lean right
1,0,0,36,93,289,lean right
2,2,1,36,94,290,lean right
0,1,0,34,93,289,lean right
1,2,1,35,95,290,lean right
0,1,0,33,94,289,lean right
1,2,2,33,94,289,lean right
0,0,0,34,94,288,lean right
2,1,2,36,95,288,lean right
0,1,1,32,93,288,lean right
2,2,2,33,95,288,lean right
0,0,1,33,93,287,lean right
2,2,2,33,95,288,lean right
1,1,0,32,94,287,lean right
2,2,2,34,95,288,lean right
1,1,1,32,94,287,lean right
1,2,2,34,95,288,lean right
14,15,14,46,109,298,lean right
14,14,16,33,94,287,lean right
1,2,1,33,95,288,lean right
0,0,0,32,94,288,lean right
2,1,2,33,95,288,lean right
1,1,0,31,94,288,lean right
2,1,2,35,96,288,lean right
0,0,1,33,93,288,lean right
1,1,2,35,96,288,lean right
1,1,0,36,99,287,lean right
2,2,1,36,100,288,lean right
1,1,0,37,102,288,lean right
1,1,2,37,103,288,lean right
0,1,1,35,103,288,lean right
2,2,2,37,104,289,lean right
1,1,0,36,103,288,lean right
2,2,2,36,104,289,lean right
0,1,1,35,101,289,lean right
1,1,1,36,96,289,lean right
0,0,0,33,96,289,lean right
1,1,1,34,98,289,lean right
0,0,0,34,96,289,lean right
1,1,1,34,93,289,lean right
0,0,0,32,92,288,lean right
1,1,2,33,93,289,lean right
0,0,0,32,93,288,lean right
1,1,2,34,94,289,lean right
0,0,0,32,93,288,lean right
1,1,1,33,94,289,lean right
0,0,0,32,93,288,lean right
1,1,1,33,95,289,lean right
0,0,0,33,93,288,lean right
1,1,1,33,94,289,lean right
0,0,0,33,92,288,lean right
1,2,1,34,95,289,lean right
0,0,0,33,96,288,lean right
1,1,1,35,98,289,lean right
0,0,0,32,93,288,lean right
1,1,1,33,97,289,lean right
0,0,0,34,99,289,lean right
1,1,1,35,100,289,lean right
0,0,0,34,101,289,lean right
1,2,1,35,103,290,lean right
0,0,0,34,103,289,lean right
1,1,1,36,106,290,lean right
0,0,0,35,104,289,lean right
1,1,1,37,110,290,lean right
0,1,0,36,109,290,lean right
1,1,1,36,109,290,lean right
0,0,0,35,108,290,lean right
1,2,1,37,106,290,lean right
0,0,0,35,104,289,lean right
1,1,1,35,105,290,lean right
0,0,0,33,103,289,lean right
1,1,1,34,104,290,lean right
0,0,0,33,103,290,lean right
1,1,1,34,104,290,lean right
0,0,0,32,102,290,lean right
1,1,1,33,103,290,lean right
0,0,0,31,100,290,lean right
1,2,2,35,102,290,lean right
0,0,0,34,102,289,lean right
1,2,2,35,102,290,lean right
0,0,0,34,102,289,lean right
1,2,1,36,103,290,lean right
0,0,0,34,101,290,lean right
1,2,0,35,99,290,lean right
0,0,0,34,99,289,lean right
1,1,1,35,101,290,lean right
618,394,0,14,0,0,lean right
600,396,0,14,0,0,lean right
598,413,0,14,0,0,lean right
603,416,0,14,0,0,lean right
601,450,0,14,0,0,lean right
604,466,0,15,0,0,lean right
612,450,0,14,0,0,lean right
615,450,0,14,0,0,lean right
619,444,0,15,0,0,lean right
613,443,0,15,0,0,lean right
615,446,0,15,0,0,lean right
620,459,0,15,0,0,lean right
622,457,0,15,0,0,lean right
618,458,0,16,0,0,lean right
618,457,0,16,0,0,lean right
620,458,0,16,0,0,lean right
617,458,0,15,0,0,lean right
620,468,0,15,0,0,lean right
616,448,0,16,0,0,lean right
617,428,0,15,0,0,lean right
620,443,0,15,0,0,lean right
618,458,0,15,0,0,lean right
624,480,0,14,0,0,lean right
623,495,0,14,0,0,lean right
621,501,0,13,0,0,lean right
623,491,0,13,0,0,lean right
624,474,0,13,0,0,lean right
620,469,0,14,0,0,lean right
620,458,0,14,0,0,lean right
624,457,0,14,0,0,lean right
624,462,0,13,0,0,lean right
624,464,0,13,0,0,lean right
621,460,0,13,0,0,lean right
620,470,0,14,0,0,lean right
622,475,0,14,0,0,lean right
623,478,0,13,0,0,lean right
624,481,0,14,0,0,lean right
623,486,0,14,0,0,lean right
625,486,0,20,0,0,lean right
547,354,0,13,0,0,lean right
517,134,0,35,0,0,lean right
528,93,0,62,0,0,lean right
525,75,0,73,0,0,lean right
519,0,0,88,0,0,lean right
517,0,0,119,0,0,lean right
506,0,0,134,0,0,lean right
514,0,0,128,0,0,lean right
545,144,0,93,0,0,lean right
580,165,0,84,0,0,lean right
589,213,0,77,0,0,lean right
584,227,0,74,0,0,lean right
589,226,0,74,0,0,lean right
615,259,0,66,0,0,lean right
630,290,0,40,0,0,lean right
632,304,0,31,0,0,lean right
625,318,0,29,0,0,lean right
614,296,0,30,0,0,lean right
601,302,0,34,0,0,lean right
599,305,0,40,0,0,lean right
598,310,0,37,0,0,lean right
610,314,0,29,0,0,lean right
615,312,0,29,0,0,lean right
604,332,0,16,0,0,lean right
610,355,0,15,0,0,lean right
612,402,0,15,0,0,lean right
618,397,0,17,0,0,lean right
621,383,0,17,0,0,lean right
622,385,0,17,0,0,lean right
624,406,1,15,0,0,lean right
624,419,1,17,0,0,lean right
623,422,1,17,0,0,lean right
625,412,1,16,1,0,lean right
628,379,0,15,0,0,lean right
